Region,ArchaeoGlobe_Label,AG.area,Continent,MinExt,MidExt,MaxExt,MinInt,MidInt,MaxInt,SplitUrb,Urb,Agri,FirstYear10
1,Alaska,1492600,North America,9999,9999,9999,9999,9999,9999,1850,9999,9999,9999
2,Yukon Territory,482179,North America,9999,9999,9999,9999,9999,9999,1850,1850,9999,9999
3,Northwest Territories,1277000,North America,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
4,Nunavut,2056380,North America,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
5,British Columbia,940882,North America,0,1850,9999,1850,9999,9999,1850,1850,1850,9999
6,Alberta,658381,North America,1850,9999,9999,1850,9999,9999,1850,9999,1850,9999
7,Saskatchewan,636873,North America,1000,9999,9999,1850,1850,9999,1850,1850,1850,9999
8,Manitoba,619006,North America,9999,9999,9999,1850,1850,9999,1850,9999,1850,9999
9,Ontario,1056950,North America,1000,1000,9999,1500,1750,1850,1500,1750,1000,9999
10,Quebec,1483800,North America,1500,1850,9999,1750,1850,9999,1500,1750,1750,9999
11,New Brunswick and Nova Scotia,133169,North America,1750,9999,9999,1850,1850,9999,1750,1750,1850,9999
12,Newfoundland and Labrador,395760,North America,1500,9999,9999,1750,1750,1850,1750,1750,1750,9999
13,Greenland,2142680,North America,9999,9999,9999,1000,9999,9999,9999,9999,1000,9999
14,Western USA,1120790,North America,1750,1850,9999,1750,1850,1850,1850,1850,1750,9999
15,Southwestern USA,1096830,North America,-2000,0,9999,0,1000,1750,1000,1000,0,9999
16,Rocky Mountains USA,846666,North America,1850,9999,9999,1850,9999,9999,1850,9999,1850,9999
17,Central Plains USA,794423,North America,0,1000,9999,1000,1000,9999,1500,1500,1000,9999
18,Midwest USA,1185820,North America,-1000,1000,1500,1000,1000,1500,1000,1500,1000,9999
19,Northeastern USA,443885,North America,-1000,1000,1500,1500,1500,1850,1750,1750,1000,9999
20,Southern USA,868471,North America,1000,1500,9999,1000,1500,9999,1750,1850,1000,9999
21,Southeastern USA,1433010,North America,-1000,1000,1500,1000,1500,1750,1000,1000,1000,9999
22,Northern Mexico,1048770,North America,-4000,-2000,9999,0,1000,1850,1000,1000,-2000,9999
23,Central Mexico,677036,North America,-6000,-2000,0,-2000,-1000,1000,0,0,-2000,9999
24,"Southern Mexico, Belize, Guatemala, and El Salvador",389878,North America,-4000,-2000,0,-2000,-1000,1000,0,0,-2000,300
25,"Honduras, Nicaragua, Costa Rica, and Panama",359579,North America,-6000,-2000,0,0,1000,1850,1000,1000,-2000,9999
26,The Caribbean,231578,North America,-2000,0,9999,1500,1750,1750,1750,1750,0,9999
27,Northern Andes Mountains,918393,South America,-2000,-1000,1500,-1000,-1000,9999,1000,1000,-1000,1500
28,Llanos,768515,South America,-4000,-1000,9999,0,9999,9999,9999,9999,-1000,9999
29,Guiana Highlands,1049390,South America,-4000,0,9999,-1000,1850,9999,1850,1850,-1000,9999
30,Amazon Basin,5346300,South America,-4000,-1000,9999,-1000,1000,9999,1000,1000,-1000,9999
31,Brazilian Highlands,3766690,South America,-4000,-2000,0,1500,1750,9999,1500,1500,-2000,9999
32,Central Andes Mountains,1237530,South America,-6000,-2000,0,-2000,-2000,0,-1000,-1000,-2000,700
33,Gran Chaco,1230250,South America,-2000,0,9999,0,1750,9999,1000,1500,0,9999
34,Southern Andes Mountains,1192420,South America,-4000,-1000,1000,-1000,0,1850,1000,1000,-1000,1500
35,Pamapas,1100860,South America,-2000,1750,9999,1750,1750,9999,1750,1750,1750,9999
36,Patagonia,1170100,South America,1500,1850,9999,0,1750,9999,9999,9999,0,9999
37,Iceland,101950,Afroeurasia,1000,9999,9999,1000,1000,9999,1850,1850,1000,1300
38,United Kingdom and Ireland,314130,Afroeurasia,-4000,-2000,-1000,-2000,-2000,1000,0,0,-2000,200
39,Scandinavia,856497,Afroeurasia,-4000,-4000,9999,-2000,0,1750,1000,1000,-4000,1500
40,"Finland, Estonia, Latvia, and Lithuania",499714,Afroeurasia,-4000,-1000,9999,-2000,1000,9999,1000,1000,-2000,1300
41,Spain and Portugal,591448,Afroeurasia,-4000,-4000,-2000,-4000,-2000,0,-1000,-1000,-4000,-200
42,France,539909,Afroeurasia,-4000,-4000,9999,-4000,-2000,-1000,-1000,-1000,-4000,-100
43,Central Europe,549742,Afroeurasia,-4000,-4000,-4000,-4000,-4000,-2000,0,0,-4000,400
44,Southern Europe,728392,Afroeurasia,-6000,-6000,0,-4000,-2000,-1000,-2000,-2000,-6000,-100
45,Eastern Europe,545385,Afroeurasia,-6000,-6000,-4000,1500,1750,9999,0,1500,-6000,100
46,Belarus,207095,Afroeurasia,-2000,-2000,9999,-2000,0,1750,0,0,-2000,900
47,Ukraine,596576,Afroeurasia,-4000,-4000,0,-4000,-4000,0,-4000,-4000,-4000,-600
48,"Romania, Bulgaria, and Moldova",398437,Afroeurasia,-6000,-6000,9999,-6000,-4000,-4000,0,0,-6000,-600
49,Northwestern Russia,1613830,Afroeurasia,1000,1850,9999,1850,9999,9999,1500,1750,1850,900
50,Central Russia,593061,Afroeurasia,-1000,9999,9999,-1000,-1000,9999,1000,1000,-1000,-600
51,Southern Russia,588204,Afroeurasia,-2000,-2000,-1000,-2000,-2000,1000,-1000,-1000,-2000,-600
52,Volga,1096020,Afroeurasia,-4000,1750,9999,-2000,-1000,9999,1000,1000,-2000,1000
