"NGA","PolID","Time","Class","uniq","Dupl","n"
"Latium","ItLatCA",-3600,2,"y","n",1
"Latium","ItLatCA",-3500,2,"n","n",1
"Latium","ItLatCA",-3400,2,"n","n",1
"Latium","ItLatCA",-3300,2,"n","n",1
"Latium","ItLatCA",-3200,2,"n","n",1
"Latium","ItLatCA",-3100,2,"n","n",1
"Latium","ItLatCA",-3000,2,"n","n",1
"Latium","ItLatCA",-2900,2,"n","n",1
"Latium","ItLatCA",-2800,2,"n","n",1
"Latium","ItLatCA",-2700,2,"n","n",1
"Latium","ItLatCA",-2600,2,"n","n",1
"Latium","ItLatCA",-2500,2,"n","n",1
"Latium","ItLatCA",-2400,2,"n","n",1
"Latium","ItLatCA",-2300,2,"n","n",1
"Latium","ItLatCA",-2200,2,"n","n",1
"Latium","ItLatCA",-2100,2,"n","n",1
"Latium","ItLatCA",-2000,2,"n","n",1
"Latium","ItLatCA",-1900,2,"n","n",1
"Latium","ItLatBA",-1800,2.5,"y","n",1
"Latium","ItLatBA",-1700,2.5,"n","n",1
"Latium","ItLatBA",-1600,2.5,"n","n",1
"Latium","ItLatBA",-1500,2.5,"n","n",1
"Latium","ItLatBA",-1400,2.5,"n","n",1
"Latium","ItLatBA",-1300,2.5,"n","n",1
"Latium","ItLatBA",-1200,2.5,"n","n",1
"Latium","ItLatBA",-1100,2.5,"y","n",1
"Latium","ItLatIA",-1000,2.5,"y","n",1
"Latium","ItLatIA",-900,2.5,"n","n",1
"Latium","ItLatIA",-800,2.5,"n","n",1
"Latium","ItRomRg",-700,3,"y","n",1
"Latium","ItRomRg",-600,3,"y","n",1
"Latium","ItRomER",-500,3,"y","n",1
"Latium","ItRomER",-400,3,"y","n",1
"Latium","ItRomER",-300,3,"y","n",1
"Latium","ItRomMR",-200,3,"y","n",1
"Latium","ItRomLR",-100,3,"y","n",1
"Latium","ItRomPr",0,3,"y","n",1
"Latium","ItRomPr",100,3,"y","n",1
"Latium","ItRomPr",200,3,"y","n",1
"Latium","TrRomDm",300,3,"y","y",1
"Latium","ItRomWe",400,3,"y","n",1
"Latium","ItOstrg",500,3,"y","n",1
"Latium","ItRav**",600,3,"y","n",1
"Latium","ItRav**",700,3,"y","n",1
"Latium","ItStPet",800,3,"y","n",1
"Latium","ItStPet",900,3,"y","n",1
"Latium","ItPapEM",1000,3,"y","n",1
"Latium","ItPapEM",1100,3,"y","n",1
"Latium","ItPapHM",1200,3,"y","n",1
"Latium","ItPapHM",1300,3,"y","n",1
"Latium","ItPapRn",1400,3,"y","n",1
"Latium","ItPapRn",1500,3,"y","n",1
"Latium","ItPapM1",1600,3,"y","n",1
"Latium","ItPapM2",1700,3,"y","n",1
"Latium","ItPapM2",1800,3,"y","n",1
"Paris Basin","FrBeakr",-3200,2,"y","n",1
"Paris Basin","FrBeakr",-3100,2,"n","n",1
"Paris Basin","FrBeakr",-3000,2,"n","n",1
"Paris Basin","FrBeakr",-2900,2,"n","n",1
"Paris Basin","FrBeakr",-2800,2,"n","n",1
"Paris Basin","FrBeakr",-2700,2,"n","n",1
"Paris Basin","FrBeakr",-2600,2,"n","n",1
"Paris Basin","FrBeakr",-2500,2,"n","n",1
"Paris Basin","FrBeakr",-2400,2,"n","n",1
"Paris Basin","FrBeakr",-2300,2,"n","n",1
"Paris Basin","FrAtlBA",-2200,2,"y","n",1
"Paris Basin","FrAtlBA",-2100,2,"n","n",1
"Paris Basin","FrAtlBA",-2000,2,"n","n",1
"Paris Basin","FrAtlBA",-1900,2,"n","n",1
"Paris Basin","FrAtlBA",-1800,2,"n","n",1
"Paris Basin","FrAtlBA",-1700,2,"n","n",1
"Paris Basin","FrAtlBA",-1600,2,"n","n",1
"Paris Basin","FrAtlBA",-1500,2,"n","n",1
"Paris Basin","FrAtlBA",-1400,2,"n","n",1
"Paris Basin","FrAtlBA",-1300,2,"n","n",1
"Paris Basin","FrAtlBA",-1200,2,"n","n",1
"Paris Basin","FrAtlBA",-1100,2,"n","n",1
"Paris Basin","FrHallA",-1000,2,"y","n",1
"Paris Basin","FrHallB",-900,2,"y","n",1
"Paris Basin","FrHallB",-800,3,"y","n",1
"Paris Basin","FrHallC",-700,3,"y","n",1
"Paris Basin","FrHallD",-600,3,"y","n",1
"Paris Basin","FrHallD",-500,3,"n","n",1
"Paris Basin","FrTeneA",-400,3,"y","n",1
"Paris Basin","FrTeneB",-300,3,"y","n",1
"Paris Basin","FrTeneB",-200,3,"y","n",1
"Paris Basin","FrTeneC",-100,3,"y","n",1
"Paris Basin","ItRomPr",0,3,"y","y",1
"Paris Basin","ItRomPr",100,3,"n","y",1
"Paris Basin","ItRomPr",200,3,"n","y",1
"Paris Basin","TrRomDm",300,3,"y","y",1
"Paris Basin","TrERom*",400,3,"y","y",1
"Paris Basin","FrMervE",500,3,"y","n",1
"Paris Basin","FrMervM",600,3,"y","n",1
"Paris Basin","FrMervL",700,3,"y","n",1
"Paris Basin","FrCarlE",800,3,"y","n",1
"Paris Basin","FrCarlL",900,3,"y","n",1
"Paris Basin","FrCaptE",1000,3,"y","n",1
"Paris Basin","FrCaptE",1100,3,"y","n",1
"Paris Basin","FrCaptL",1200,3,"y","n",1
"Paris Basin","FrCaptL",1300,3,"y","n",1
"Paris Basin","FrValoE",1400,3,"y","n",1
"Paris Basin","FrValoL",1500,3,"y","n",1
"Paris Basin","FrBurbE",1600,3,"y","n",1
"Paris Basin","FrBurbL",1700,3,"y","n",1
"Iceland","IsCommw",1000,3,"y","n",1
"Iceland","IsCommw",1100,3,"y","n",1
"Iceland","IsCommw",1200,3,"y","n",1
