"NGA","PolID","Time","Pop","Terr","Cap","uniq","Dupl","n"
"Latium","ItLatCA",-3600,NA,NA,NA,"y","n",1
"Latium","ItLatCA",-3500,NA,NA,NA,"n","n",1
"Latium","ItLatCA",-3400,NA,NA,NA,"n","n",1
"Latium","ItLatCA",-3300,NA,NA,NA,"n","n",1
"Latium","ItLatCA",-3200,NA,NA,NA,"n","n",1
"Latium","ItLatCA",-3100,NA,NA,NA,"n","n",1
"Latium","ItLatCA",-3000,NA,NA,NA,"n","n",1
"Latium","ItLatCA",-2900,NA,NA,NA,"n","n",1
"Latium","ItLatCA",-2800,NA,NA,NA,"n","n",1
"Latium","ItLatCA",-2700,NA,NA,NA,"n","n",1
"Latium","ItLatCA",-2600,NA,NA,NA,"n","n",1
"Latium","ItLatCA",-2500,NA,NA,NA,"n","n",1
"Latium","ItLatCA",-2400,NA,NA,NA,"n","n",1
"Latium","ItLatCA",-2300,NA,NA,NA,"n","n",1
"Latium","ItLatCA",-2200,NA,NA,NA,"n","n",1
"Latium","ItLatCA",-2100,NA,NA,NA,"n","n",1
"Latium","ItLatCA",-2000,NA,NA,NA,"n","n",1
"Latium","ItLatCA",-1900,NA,NA,NA,"n","n",1
"Latium","ItLatBA",-1800,1.67106436889349,0.544068044350276,1.54406804435028,"y","n",1
"Latium","ItLatBA",-1700,1.67106436889349,0.544068044350276,1.54406804435028,"n","n",1
"Latium","ItLatBA",-1600,1.67106436889349,0.544068044350276,1.54406804435028,"n","n",1
"Latium","ItLatBA",-1500,1.67106436889349,0.544068044350276,1.54406804435028,"n","n",1
"Latium","ItLatBA",-1400,1.67106436889349,0.544068044350276,1.54406804435028,"n","n",1
"Latium","ItLatBA",-1300,1.67106436889349,0.544068044350276,1.54406804435028,"n","n",1
"Latium","ItLatBA",-1200,1.67106436889349,0.544068044350276,1.54406804435028,"n","n",1
"Latium","ItLatBA",-1100,1.04373169550536,0.544068044350276,2.30102999566398,"y","n",1
"Latium","ItLatIA",-1000,1.93673300237086,2.21083493744851,2.30102999566398,"y","n",1
